±‚¡ÿ≥Ø¬•,ƒ´∏ﬁ∂Û∏Ìƒ™,∞Ëºˆ ∆Ú±’,¿ßµµ,∞Êµµ
20190928,¿≤∞Ó∑Œ3±Ê 50,12670.0,37.57777,126.982634
20190928,∞Ëµø±Ê 69,17308.0,37.580543,126.986594
20190928,∫œ√Ã∑Œ5∞°±Ê 38,8253.0,37.581286,126.981567
20190928,∫œ√Ã∑Œ11±Ê 1,9436.0,37.581425,126.984794
20190929,∞Ëµø±Ê 69,14015.0,37.580543,126.986594
20190929,∫œ√Ã∑Œ5∞°±Ê 38,7091.0,37.581286,126.981567
20190929,¿≤∞Ó∑Œ3±Ê 50,12222.0,37.57777,126.982634
20190929,∫œ√Ã∑Œ11±Ê 1,8268.5,37.581425,126.984794
20190930,∫œ√Ã∑Œ11±Ê 1,7184.0,37.581425,126.984794
20190930,∫œ√Ã∑Œ5∞°±Ê 38,4770.5,37.581286,126.981567
20190930,∞Ëµø±Ê 69,16167.0,37.580543,126.986594
20190930,¿≤∞Ó∑Œ3±Ê 50,8028.0,37.57777,126.982634
20191001,¿≤∞Ó∑Œ3±Ê 50,8904.5,37.57777,126.982634
20191001,∫œ√Ã∑Œ5∞°±Ê 38,4651.0,37.581286,126.981567
20191001,∞Ëµø±Ê 69,16852.5,37.580543,126.986594
20191001,∫œ√Ã∑Œ11±Ê 1,6823.5,37.581425,126.984794
20191002,∫œ√Ã∑Œ5∞°±Ê 38,4812.5,37.581286,126.981567
20191002,∫œ√Ã∑Œ11±Ê 1,7863.5,37.581425,126.984794
20191002,∞Ëµø±Ê 69,26026.5,37.580543,126.986594
20191002,¿≤∞Ó∑Œ3±Ê 50,7318.0,37.57777,126.982634
20191003,∫œ√Ã∑Œ5∞°±Ê 38,7865.5,37.581286,126.981567
20191003,∞Ëµø±Ê 69,20317.0,37.580543,126.986594
20191003,∫œ√Ã∑Œ11±Ê 1,9225.0,37.581425,126.984794
20191003,¿≤∞Ó∑Œ3±Ê 50,11030.5,37.57777,126.982634
20191004,∞Ëµø±Ê 69,16601.0,37.580543,126.986594
20191004,∫œ√Ã∑Œ11±Ê 1,10811.0,37.581425,126.984794
20191004,¿≤∞Ó∑Œ3±Ê 50,12051.5,37.57777,126.982634
20191004,∫œ√Ã∑Œ5∞°±Ê 38,7527.5,37.581286,126.981567
20191005,¿≤∞Ó∑Œ3±Ê 50,11430.0,37.57777,126.982634
20191005,∞Ëµø±Ê 69,21407.0,37.580543,126.986594
20191005,∫œ√Ã∑Œ11±Ê 1,10471.5,37.581425,126.984794
20191005,∫œ√Ã∑Œ5∞°±Ê 38,8207.0,37.581286,126.981567
20191006,∫œ√Ã∑Œ5∞°±Ê 38,7715.0,37.581286,126.981567
20191006,∫œ√Ã∑Œ11±Ê 1,8208.5,37.581425,126.984794
20191006,∞Ëµø±Ê 69,15102.0,37.580543,126.986594
20191006,¿≤∞Ó∑Œ3±Ê 50,10908.5,37.57777,126.982634
20191007,¿≤∞Ó∑Œ3±Ê 50,6637.5,37.57777,126.982634
20191007,∫œ√Ã∑Œ11±Ê 1,4338.5,37.581425,126.984794
20191007,∞Ëµø±Ê 69,26084.5,37.580543,126.986594
20191007,∫œ√Ã∑Œ5∞°±Ê 38,3350.0,37.581286,126.981567
